n,version,time_ms,speedup,max_abs_diff
128,serial,0,nan,0
128,sse_unaligned,0.5398,0,0
128,avx_unaligned,0,nan,0
128,avx_aligned,0,nan,0
128,avx_unroll4,0,nan,0
256,serial,2.5815,1,0
256,sse_unaligned,3.1969,0.807501,0
256,avx_unaligned,1.7129,1.50709,0
256,avx_aligned,1.0923,2.36336,0
256,avx_unroll4,1.6496,1.56492,0
512,serial,21.4938,1,0
512,sse_unaligned,24.7009,0.870163,0
512,avx_unaligned,13.3998,1.60404,0
512,avx_aligned,11.583,1.85563,0
512,avx_unroll4,13.3995,1.60407,0
1024,serial,116.97,1,0
1024,sse_unaligned,167.06,0.700169,0
1024,avx_unaligned,87.3247,1.33949,0
1024,avx_aligned,75.3554,1.55225,0
1024,avx_unroll4,98.0246,1.19327,0
